4.587954711914062500e+01 8.789180755615234375e+00 1.311712360382080078e+01 1.084190359552000000e+13
3.424124145507812500e+01 3.740659713745117188e+01 3.119522666931152344e+01 1.088084561100800000e+13
2.225571250915527344e+01 4.577245712280273438e+01 4.779280471801757812e+01 1.248538184908800000e+13
2.509704971313476562e+01 4.922146224975585938e+01 3.807933807373046875e+01 1.252399775744000000e+13
1.886526870727539062e+01 4.904507064819335938e+01 4.386935806274414062e+01 1.261318648627200000e+13
3.032215309143066406e+01 4.326697921752929688e+01 4.767228317260742188e+01 1.299428933632000000e+13
1.591678428649902344e+01 4.789752197265625000e+01 4.462280273437500000e+01 1.381574901760000000e+13
3.856765270233154297e+00 4.730229377746582031e+00 4.192585754394531250e+01 1.397890220032000000e+13
4.532052612304687500e+01 3.685706710815429688e+01 2.735648155212402344e+01 1.409616340582400000e+13
9.760288238525390625e+00 4.737955474853515625e+01 4.848889541625976562e+01 1.426743256678400000e+13
1.797575569152832031e+01 8.160188794136047363e-01 3.784726333618164062e+01 1.573105801625600000e+13
3.354971694946289062e+01 4.245351028442382812e+01 1.105367422103881836e+00 1.576245447884800000e+13
3.833061981201171875e+01 4.381098556518554688e+01 4.975779056549072266e+00 1.637005289062400000e+13
1.373562240600585938e+01 3.230831527709960938e+01 3.489146804809570312e+01 1.682516528332800000e+13
5.654043555259704590e-01 3.386476516723632812e+01 4.117870330810546875e+00 1.845316970086400000e+13
3.307795715332031250e+01 4.193173980712890625e+01 3.869487762451171875e+01 2.079826169036800000e+13
1.427401065826416016e+01 5.225124835968017578e+00 3.866260147094726562e+01 2.461002209689600000e+13
2.796794319152832031e+01 4.646108245849609375e+01 3.460877609252929688e+01 2.487601227366400000e+13
4.520003128051757812e+01 1.597719383239746094e+01 1.046889400482177734e+01 2.551690402201600000e+13
1.701665496826171875e+01 3.675521850585937500e+01 3.746127319335937500e+01 2.796035453747200000e+13
4.152414321899414062e+01 3.320777893066406250e+01 2.220189285278320312e+01 3.189857740390400000e+13
9.921957015991210938e+00 1.711766481399536133e+00 4.345182418823242188e+01 3.615037902028800000e+13
3.780177688598632812e+01 4.595814132690429688e+01 3.489902877807617188e+01 1.785919711477760000e+14
